frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
196,6516.1,13,369,217,,,,,,,13,97,344,,,,,,,,,,,,,,,,15,237,617,,,,,,
197,6554.5,13,348,207,,,,,,,13,81,342,,,,,,,,,,,,,,,,15,229,610,,,,,,
198,6584.9,13,339,202,,,,,,,13,75,347,,,,,,,,,,,,,,,,15,231,608,,,,,,
199,6616,13,340,202,,,,,,,13,80,354,,,,,,,,,,,,,,,,15,242,611,,,,,,
200,6648.3,13,342,204,,,,,,,13,86,363,,,,,,,,,,,,,,,,15,254,614,,,,,,
201,6688.1,13,343,208,,,,,,,13,92,373,,,,,,,,,,,,,,,,15,268,620,,,,,,
202,6722.6,13,343,211,,,,,,,13,100,388,,,,,,,,,,,,,,,,15,285,626,,,,,,
203,6748.3,13,341,217,,,,,,,12,109,405,,,,,,,,,,,,,,,,15,306,633,,,,,,
204,6783.9,13,340,221,,,,,,,12,121,426,,,,,,,,,,,,,,,,15,332,640,,,,,,
205,6816.2,13,340,226,,,,,,,12,136,447,,,,,,,,,,,,,,,,15,361,644,,,,,,
206,6848.3,13,345,231,,,,,,,12,155,464,,,,,,,,,,,,,,,,15,391,648,,,,,,
207,6883.9,13,352,235,,,,,,,12,175,478,,,,,,,,,,,,,,,,15,422,648,,,,,,
208,6916.4,13,358,238,,,,,,,12,197,491,,,,,,,,,,,,,,,,15,451,647,,,,,,
209,6948.3,13,363,242,,,,,,,12,216,502,,,,,,,,,,,,,,,,15,479,644,,,,,,
210,6984,13,366,247,,,,,,,12,234,515,,,,,,,,,,,,,,,,15,504,643,,,,,,
211,7017.3,13,366,254,,,,,,,12,247,527,,,,,,,,,,,,,,,,15,523,642,,,,,,
212,7048.5,13,367,260,,,,,,,12,259,538,,,,,,,,,,,,,,,,15,540,641,,,,,,
213,7084.6,13,367,266,,,,,,,12,271,548,,,,,,,,,,,,,,,,14,556,640,,,,,,
214,7117.9,13,367,271,,,,,,,12,283,557,,,,,,,,,,,,,,,,14,571,637,,,,,,
215,7157.5,13,367,275,,,,,,,12,294,565,,,,,,,,,,,,,,,,14,585,633,,,,,,
216,7184.3,13,369,281,,,,,,,12,303,572,,,,,,,,,,,,,,,,14,595,632,,,,,,
217,7216,13,370,286,,,,,,,12,313,578,,,,,,,,,,,,,,,,15,607,630,,,,,,
218,7252.2,13,366,292,,,,,,,12,325,586,,,,,,,,,,,,,,,,15,622,624,,,,,,
219,7284.3,13,359,299,,,,,,,11,339,595,,,,,,,,,,,,,,,,15,637,614,,,,,,
220,7316.5,13,350,308,,,,,,,12,352,604,,,,,,,,,,,,,,,,15,652,599,,,,,,
221,7349.6,13,342,316,,,,,,,11,367,610,,,,,,,,,,,,,,,,15,665,584,,,,,,
222,7384.3,13,340,321,,,,,,,12,382,616,,,,,,,,,,,,,,,,14,678,568,,,,,,
223,7416.3,13,344,323,,,,,,,12,394,615,,,,,,,,,,,,,,,,14,688,561,,,,,,
224,7448,13,346,328,,,,,,,12,402,619,,,,,,,,,,,,,,,,14,695,559,,,,,,
225,7484.3,13,347,335,,,,,,,12,410,624,,,,,,,,,,,,,,,,14,702,557,,,,,,
226,7516.2,13,343,346,,,,,,,11,420,631,,,,,,,,,,,,,,,,14,708,552,,,,,,
227,7548.3,13,337,359,,,,,,,11,430,638,,,,,,,,,,,,,,,,14,714,544,,,,,,
228,7584.2,13,331,373,,,,,,,12,441,647,,,,,,,,,,,,,,,,15,718,534,,,,,,
229,7616.1,13,326,384,,,,,,,12,454,650,,,,,,,,,,,,,,,,15,722,518,,,,,,
230,7648.3,13,320,397,,,,,,,11,470,651,,,,,,,,,,,,,,,,15,726,497,,,,,,
231,7684.2,13,316,409,,,,,,,11,486,650,,,,,,,,,,,,,,,,15,728,476,,,,,,
232,7716,13,314,421,,,,,,,11,502,648,,,,,,,,,,,,,,,,15,730,455,,,,,,
233,7749.9,13,313,433,,,,,,,11,519,644,,,,,,,,,,,,,,,,15,730,433,,,,,,
234,7784.9,13,313,445,,,,,,,11,535,641,,,,,,,,,,,,,,,,15,730,412,,,,,,
235,7816.1,13,316,458,,,,,,,11,551,634,,,,,,,,,,,,,,,,15,727,391,,,,,,
236,7848.5,13,319,470,,,,,,,11,568,626,,,,,,,,,,,,,,,,15,724,370,,,,,,
237,7884,13,323,481,,,,,,,11,584,618,,,,,,,,,,,,,,,,15,719,349,,,,,,
238,7916.1,13,329,492,,,,,,,12,600,608,,,,,,,,,,,,,,,,15,713,329,,,,,,
239,7948.2,13,337,503,,,,,,,11,616,597,,,,,,,,,,,,,,,,15,706,309,,,,,,
